timestamp,temperatura_forno,estoque_farinha,estoque_ovos,estoque_leite,clientes_hora,consumo_energia
2025-09-18 21:20:44,180.68,54,6,25,12,11.45
2025-09-18 21:20:44,197.43,83,72,26,15,10.18
2025-09-18 21:20:44,210.05,100,96,47,1,12.52
2025-09-18 21:20:44,213.64,2,87,14,20,11.78
2025-09-18 21:20:44,203.89,57,55,33,15,6.66
2025-09-18 21:20:44,217.21,88,172,30,8,6.74
2025-09-18 21:20:44,224.76,23,150,5,0,10.16
2025-09-18 21:20:44,188.04,72,161,11,19,10.63
2025-09-18 21:20:44,228.66,25,40,45,7,9.89
2025-09-18 21:20:44,229.34,61,94,38,2,14.76
2025-09-18 21:20:44,228.61,4,61,37,11,12.56
2025-09-18 21:20:44,181.3,80,7,41,6,8.52
2025-09-18 21:20:44,248.12,17,24,31,13,7.66
2025-09-18 21:20:44,200.13,19,61,9,4,13.29
2025-09-18 21:20:44,247.86,91,158,12,11,10.14
2025-09-18 21:20:44,201.01,16,17,35,6,6.15
2025-09-18 21:20:44,180.8,78,39,48,15,8.53
2025-09-18 21:20:44,241.59,34,86,5,19,11.18
2025-09-18 21:20:44,237.54,89,15,8,20,12.07
2025-09-18 21:20:44,214.36,54,3,3,7,10.58
2025-09-18 21:20:44,248.64,65,172,8,3,8.98
2025-09-18 21:20:44,191.55,83,152,31,9,11.05
2025-09-18 21:20:44,237.15,37,82,3,17,9.17
2025-09-18 21:20:44,202.27,74,163,39,14,8.77
2025-09-18 21:20:44,246.45,68,176,18,1,8.11
2025-09-18 21:20:44,224.03,36,52,45,17,10.88
2025-09-18 21:20:44,217.76,74,100,16,17,9.52
2025-09-18 21:20:44,182.98,66,10,25,19,5.92
2025-09-18 21:20:44,230.13,14,121,6,1,7.44
2025-09-18 21:20:44,240.07,21,186,25,1,9.96
2025-09-18 21:20:44,245.02,57,46,10,18,12.35
2025-09-18 21:20:44,182.22,43,161,39,3,14.16
2025-09-18 21:20:44,194.2,36,60,17,2,11.62
2025-09-18 21:20:44,242.05,64,14,45,13,11.93
2025-09-18 21:20:44,210.7,21,23,31,20,6.46
2025-09-18 21:20:44,188.81,0,61,19,20,9.54
2025-09-18 21:20:44,219.84,20,10,13,9,7.66
2025-09-18 21:20:44,191.25,96,140,0,11,12.99
2025-09-18 21:20:44,212.01,65,117,6,17,10.42
2025-09-18 21:20:44,185.33,20,156,35,12,12.92
2025-09-18 21:20:44,249.61,40,136,6,5,10.85
2025-09-18 21:20:44,232.68,21,161,14,19,5.16
2025-09-18 21:20:44,243.75,61,135,5,4,9.73
2025-09-18 21:20:44,229.19,83,76,50,0,11.35
2025-09-18 21:20:44,189.26,42,30,49,19,13.79
2025-09-18 21:20:44,197.56,29,152,38,3,9.6
2025-09-18 21:20:44,236.54,53,9,7,3,10.48
2025-09-18 21:20:44,231.3,56,112,43,9,7.84
2025-09-18 21:20:44,219.37,88,102,12,14,7.68
2025-09-18 21:20:44,188.72,97,162,41,17,8.36
